Structure [idcode]	MolRegNo	m	Value	Unit	Type	pValue	Ligand Efficiency	Binding Efficiency	Surface Efficiency	Assay Category	Assay Organism	Target ID	Target Name	Target Organism	Target Description	Sequence Accession	Reference	Pubmed ID	DOI	
fcw@s@NN|u^pQBh`wadTTRbRvTbaRTQtXJhxBHjihHJI`af@@ !BRMuH`gz?RKt~`Db}ROq~ws_|_m|HoSy@_m}WoS_|JHIHOU\}_hA~wpG_BOpW_E^}_`AW_Dc|	56236	=	16	nM	Ki	7.8	0.38	17.43	7.49			24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035	Bioorg Med Chem Lett 1 (3), 151-154 (1991)		10.1016/S0960-894X(01)80788-5	
fmgAQ@NNkMXHaTQdTTRbRvTTrRbNcAE{@QEUTDEDpHMDp@ !BROuH@oy?RGw~`Da}R@K~_s\B?k}H?_{@?k|w?D`BbKtwo_z@?k?~Ot`BMpJw_Wz@m?qH@`	56273	=	3	nM	Ki	8.52	0.43	20.62	9.8			24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035	Bioorg Med Chem Lett 1 (3), 151-154 (1991)		10.1016/S0960-894X(01)80788-5	
fo@rBHXzn{pZ@I_vAJIQQZKQQKJjYSJV|GKUUUTuMUUSTHeEJADFhmPFaiDr@@ !B@O{~kz^]FIw~kybb?j|gWUa]VItAkz\b?j|ggYb]Iyu~dIb]irJghj_B?iBXhb^bYyw~kr^bYyw~kr^b	295974	=	29	nM	IC50	7.54	0	0	0			24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035	J Med Chem 35 (18), 3388-3393 (1992)	1527791	10.1021/jm00096a015	
fkAP@@HEd^QQIQ[JJJJJUYPqTYzIZmUUUUTuTuTpbRdTmHr]JrZ@@ !BzEw~gtbBRCwho^aB?m|hHb`}?k|hoU^}?e}H`oy_CxIW_Ta}?hAHoT`BBDIHO_x@zEuh_E{oJAt	9495	=	37	nM	IC50	7.43	0	0	0			24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035	J Med Chem 35 (18), 3388-3393 (1992)	1527791	10.1021/jm00096a015	
fk@p@@HEGl|bbRbvTTTTTJLVfhsvRmZjjjjjjfjiaTbejFUhzM`t@ !B|Gw~W|aBrOwHO\aB?g~H?Lb}?m~H?]]}R@K~W?x?upK~PLa}mwuH_\bB?c?~@Da}ROvH@ox?JOt	187755	=	1400	nM	IC50	5.85	0	0	0			24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035	J Med Chem 35 (18), 3388-3393 (1992)	1527791	10.1021/jm00096a015	
e`PPFHDHLAmgo`M@B_npIQJQQFKQQKJjYSJNAQEMUUUTuMUUSUqQQHQYPyQEQtPlP@@ !BnB{~_{]}ROw~_xb}_[^BbG_}bOuH?Oy?M?s~_{]}BGvw?Wx@bGvw@c\BM?s~@K_|b@K~@D`BmpK~@H`BmpH	507938	=	12	nM	IC50	7.92	0	0	0			24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035	J Med Chem 35 (18), 3388-3393 (1992)	1527791	10.1021/jm00096a015	
foArBHXSu]w`t@RlBTRbbtVbbVUTrfTmxNVjjjjjZjjfjQBJDBhuPXbu@RFdSH@@ !BCaO~_}^}RGw~o|aB?e~wo\b}RKw~O}_|?k?WOX`}uww~pDc}utHO?M_|?lAH@k\B?lCw?H`B?hBw@laB	188595	=	2220	nM	IC50	5.65	0	0	0			24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035	J Med Chem 35 (18), 3388-3393 (1992)	1527791	10.1021/jm00096a015	
elZ\BDDIM@mghTPMBBP@eGlBTRVTTTRbRrbRLjfTXxlB|bfV`@ijfYjjjjfFdAbKbHHh !BXJpAotc}Mww~o?y?Mww~otc}M{tPFo{_?k|w@jrgM?vPY[]}?hC@L[JO@[|w?C\Blh?@lWz@M{tw?Oz@mwtw@gz@M{t	30657	=	1		Relative potency	0	0	0	0			24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035	Bioorg Med Chem Lett 11 (10), 1285-1288 (2001)	11392538	10.1016/s0960-894x(01)00203-7	
ej^\BDDODlaolRPMBBP@dglBTRVTTTTRVbUbfRTQtXxl|Rr^a`@`HbYjjBBbXHPZHNH`|` !B@HK~[~_]FMw~{?{ozMw~[~]]FMw~kv]B?j?pvn`}Y}u~DOCEWOo~[v_BY|JZc?xPy}usZ}CiY|KZcuhO_aAggU@YY|I~DF_]	30564	=	10		Relative potency	0	0	0	0			24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035	Bioorg Med Chem Lett 11 (10), 1285-1288 (2001)	11392538	10.1016/s0960-894x(01)00203-7	
enY\BLDAE@ghRZPHbzPYtJ^YgHhdlheDhmELdehdXULhJFEC@lfih@IhJ@BBRjjjX`PNHAH`z` !BVPoKbVHCVXmYBvK}fXnrHxmYc\NSroxkIho~eENUd}USJjpj?jnSJoxT?iRSU_zTKBjSr`Fkdri~eGzTTuVSrozTduVSJozTTuU?eP	31014	=	26		Relative potency	0	0	0	0			24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035	Bioorg Med Chem Lett 11 (10), 1285-1288 (2001)	11392538	10.1016/s0960-894x(01)00203-7	
enY\BDDODliojVPMBBP@eglBTRVTTTTRTtR\VTTRrtXxl|RrQI`@`HbYjjjB`a`aCh`xbCr@ !B@@HAsr^]vEw~K?{OVIw~sr\]vEw~s|^b?h~Hvea]qyu~tHaEOClzb@GOqrKGhmiw_m@gG[@YqrHzMtpT_mCGgW@Y\FgGh`rT?m@gGP	31187	=	17		Relative potency	0	0	0	0			24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035	Bioorg Med Chem Lett 11 (10), 1285-1288 (2001)	11392538	10.1016/s0960-894x(01)00203-7	
efQ\BDDODli`RZPMBBP@fglBTRVTTTTRTtVlTrRbNcGEgbVWrL@DuRruUTDEDqPatQ\QAy@ !BHCs~_w_}bOw~_?y?BGw~_w_}b@O~o{_|?k|Pz`c}mwu~@ABekJ\ZxK]|?g~w@`C~?`AwoPIw@hbw@`@A`Oy~@K]}@hbw@gx@m{t	31415	=	12		Relative potency	0	0	0	0			24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035	Bioorg Med Chem Lett 11 (10), 1285-1288 (2001)	11392538	10.1016/s0960-894x(01)00203-7	
