,Supporting information
,Name ,melting point ,boiling point ,dielectric constant ,Electron affinity ,Ionization energy
Water,0,100,78.36,0.39,9.27
"1,2-Ethanediol",-12.6,197.5,37.7,0.63,7.05
Formamide,2.5,210.5,109.5,0.91,7.89
N-Methylformamide,-3.8,200,182.4,0.86,7.23
Diethylene glycol,-7.8,245.7,31.69,-0.09,6.91
Triethylene glycol,-4.3,288,23.69,0.32,6.84
Tetraethylene glycol,-6.2,327.3,19.7,-0.23,6.87
2-Methoxyethanol,-85.1,124.6,16.93,0.25,6.93
N-Methylacetamide,30.6,206.7,191.3,0.72,7.05
Ethanol,-114.5,78.3,24.55,0.2,7.73
2-Aminoethanol,10.5,170.9,37.72,0.3,6.37
Acetic acid,16.7,117.9,6.17,0.8,8.43
1-Propanol,-126.2,97.2,20.45,0.18,7.45
Benzyl alcohol,-15.3,205.4,12.7,0.97,6.79
1-Butanol,-88.6,117.7,17.51,0.16,7.45
1-Pentanol,-78.2,138,13.9,0.11,7.44
2-Methyl-1-propanol,-108.2,107.9,17.93,0.18,7.22
2-Propanol,-88,82.2,19.92,0.02,7.72
2-Butanol,-114.7,99.5,16.56,0.15,7.56
2-Pentanol,-50,119,13.71,-0.05,7.31
Nitromethane,-28.6,101.2,35.87,2.84,8.68
Propylene carbonate,-54.5,241.7,64.92,1.3,8.39
3-Pentanol,-8,115.3,13.35,-0.05,7.3
Acetonitrile,-43.8,81.6,35.94,1.06,9.46
Dimethyl sulfoxide,18.5,189,46.45,1.49,6.47
Aniline,-6,184.4,6.98,0.49,5.73
Sulfolane,28.4,287.3,43.3,2.35,7.72
Propanenitrile,-92.8,97.3,28.26,1.05,9.17
2-Methyl-2-propanol,25.6,82.3,12.47,-0.01,7.51
"N,N-Dimethylformamide",-60.4,153.1,36.71,0.83,6.86
"N,N-Dimethylacetamide",-20.1,166.1,37.78,0.78,6.63
"1,3-Dimethylimidazolidin-2-",,,,,
,8.2,225.5,37.6,0.43,6.03
one,,,,,
1-Methylpyrrolidin-2-one,-24.4,202,32.2,0.67,6.63
Acetone,-94.7,56.1,20.56,1.28,7.35
"1,3-Dimethyl-2-",,,,,
,-23.8,246.5,36.12,0.59,6.11
oxohexahydropyrimidine,,,,,
"1,2-Diaminoethane",11.3,116.9,12.9,-0.49,5.7
Cyanobenzene,-12.7,191.1,25.2,1.99,7.42
2-Butanone,-86.7,79.6,18.11,1.26,7.29
Nitrobenzene,5.8,210.9,34.78,3.3,7.57
2-Pentanone,-76.9,102.3,15.38,1.23,7.28
2-Methyl-2-butanol,-8.8,102,5.78,-0.27,7.64
Morpholine,-4.8,129,7.42,-0.39,5.93
Tetramethylurea,-1.2,175.3,23.6,0.66,6.1
Hexamethylphosphoric ,,,,,
,7.3,233,29.3,-0.21,5.76
triamide,,,,,
3-Methyl-2-butanone,-92.2,94.9,15.87,1.21,7.14
